attempttime,difficulty,userid,iscorrect,examid
1488742982003,2,0f3f15f0-9943-11e6-bc69-85fb2f9805f1,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742982005,2,0f3f15f0-9943-11e6-bc69-85fb2f9805f1,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742982007,2,0f3f15f0-9943-11e6-bc69-85fb2f9805f1,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742982010,2,0f3f15f0-9943-11e6-bc69-85fb2f9805f1,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742982017,2,0f3f15f0-9943-11e6-bc69-85fb2f9805f1,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742982078,2,0dcb4b90-994c-11e6-bace-d2c0c823efac,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742982083,2,0dcb4b90-994c-11e6-bace-d2c0c823efac,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742982084,2,0dcb4b90-994c-11e6-bace-d2c0c823efac,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742982086,2,0dcb4b90-994c-11e6-bace-d2c0c823efac,True,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742982088,2,0dcb4b90-994c-11e6-bace-d2c0c823efac,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742982091,2,0dcb4b90-994c-11e6-bace-d2c0c823efac,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742982092,2,0dcb4b90-994c-11e6-bace-d2c0c823efac,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742982094,2,0dcb4b90-994c-11e6-bace-d2c0c823efac,True,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742982545,2,d18fb270-99b3-11e6-b350-60af9cf8080d,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742982546,2,d18fb270-99b3-11e6-b350-60af9cf8080d,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742982548,2,d18fb270-99b3-11e6-b350-60af9cf8080d,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
